id,province_id,name_th,name_en
203,19,จักราช,Chakkarat
204,19,โชคชัย,Chok Chai
205,19,ด่านขุนทด,Dan Khun Thot
206,19,โนนไทย,Non Thai
207,19,โนนสูง,Non Sung
208,19,ขามสะแกแสง,Kham Sakaesaeng
209,19,บัวใหญ่,Bua Yai
210,19,ประทาย,Prathai
211,19,ปักธงชัย,Pak Thong Chai
212,19,พิมาย,Phimai
213,19,ห้วยแถลง,Huai Thalaeng
214,19,ชุมพวง,Chum Phuang
215,19,สูงเนิน,Sung Noen
216,19,ขามทะเลสอ,Kham Thale So
217,19,สีคิ้ว,Sikhio
218,19,ปากช่อง,Pak Chong
219,19,หนองบุญมาก,Nong Bunnak
220,19,แก้งสนามนาง,Kaeng Sanam Nang
221,19,โนนแดง,Non Daeng
222,19,วังน้ำเขียว,Wang Nam Khiao
223,19,เทพารักษ์,Thepharak
224,19,เมืองยาง,Mueang Yang
225,19,พระทองคำ,Phra Thong Kham
226,19,ลำทะเมนชัย,Lam Thamenchai
227,19,บัวลาย,Bua Lai
228,19,สีดา,Sida
229,19,เฉลิมพระเกียรติ,Chaloem Phra Kiat
230,20,เมืองบุรีรัมย์,Mueang Buri Ram
231,20,คูเมือง,Khu Mueang
232,20,กระสัง,Krasang
233,20,นางรอง,Nang Rong
234,20,หนองกี่,Nong Ki
235,20,ละหานทราย,Lahan Sai
236,20,ประโคนชัย,Prakhon Chai
237,20,บ้านกรวด,Ban Kruat
238,20,พุทไธสง,Phutthaisong
239,20,ลำปลายมาศ,Lam Plai Mat
240,20,สตึก,Satuek
241,20,ปะคำ,Pakham
242,20,นาโพธิ์,Na Pho
243,20,หนองหงส์,Nong Hong
244,20,พลับพลาชัย,Phlapphla Chai
245,20,ห้วยราช,Huai Rat
246,20,โนนสุวรรณ,Non Suwan
247,20,ชำนิ,Chamni
248,20,บ้านใหม่ไชยพจน์,Ban Mai Chaiyaphot
249,20,โนนดินแดง,Din Daeng
250,20,บ้านด่าน,Ban Dan
251,20,แคนดง,Khaen Dong
252,20,เฉลิมพระเกียรติ,Chaloem Phra Kiat
253,21,เมืองสุรินทร์,Mueang Surin
254,21,ชุมพลบุรี,Chumphon Buri
255,21,ท่าตูม,Tha Tum
256,21,จอมพระ,Chom Phra
257,21,ปราสาท,Prasat
258,21,กาบเชิง,Kap Choeng
259,21,รัตนบุรี,Rattanaburi
